Date,Ticker,Open,High,Low,Returns
03/03/2011,IGUSA10D,,,,3.479402
03/04/2011,IGUSA10D,,,,3.391233
03/07/2011,IGUSA10D,,,,3.412773
03/08/2011,IGUSA10D,,,,3.457828
03/09/2011,IGUSA10D,,,,3.370728
03/10/2011,IGUSA10D,,,,3.286087
03/11/2011,IGUSA10D,,,,3.3031
03/14/2011,IGUSA10D,,,,3.271296
03/15/2011,IGUSA10D,,,,3.278052
03/16/2011,IGUSA10D,,,,3.188766
03/17/2011,IGUSA10D,,,,3.20255
03/18/2011,IGUSA10D,,,,3.228504
03/21/2011,IGUSA10D,,,,3.26652
03/22/2011,IGUSA10D,,,,3.27487
03/23/2011,IGUSA10D,,,,3.297168
03/24/2011,IGUSA10D,,,,3.338604
03/25/2011,IGUSA10D,,,,3.392184
03/28/2011,IGUSA10D,,,,3.391578
03/29/2011,IGUSA10D,,,,3.40865
03/30/2011,IGUSA10D,,,,3.36937
03/31/2011,IGUSA10D,,,,3.3659
04/01/2011,IGUSA10D,,,,3.333364
04/04/2011,IGUSA10D,,,,3.33546
04/05/2011,IGUSA10D,,,,3.37295
04/06/2011,IGUSA10D,,,,3.417956
04/07/2011,IGUSA10D,,,,3.431072
04/08/2011,IGUSA10D,,,,3.430604
04/11/2011,IGUSA10D,,,,3.431681
04/12/2011,IGUSA10D,,,,3.388
04/13/2011,IGUSA10D,,,,3.358078
04/14/2011,IGUSA10D,,,,3.371355
04/15/2011,IGUSA10D,,,,3.291085
04/18/2011,IGUSA10D,,,,3.27828
04/19/2011,IGUSA10D,,,,3.239823
04/20/2011,IGUSA10D,,,,3.267075
04/21/2011,IGUSA10D,,,,3.258576
05/02/2011,IGUSA10D,,,,3.145162
05/03/2011,IGUSA10D,,,,3.1242
05/04/2011,IGUSA10D,,,,3.114475
05/05/2011,IGUSA10D,,,,3.075378
05/06/2011,IGUSA10D,,,,3.079626
05/09/2011,IGUSA10D,,,,3.049223
05/10/2011,IGUSA10D,,,,3.090464
05/11/2011,IGUSA10D,,,,3.066228
05/12/2011,IGUSA10D,,,,3.098284
05/13/2011,IGUSA10D,,,,3.077922
05/16/2011,IGUSA10D,,,,3.07188
05/17/2011,IGUSA10D,,,,3.033264
05/18/2011,IGUSA10D,,,,3.085872
05/19/2011,IGUSA10D,,,,3.066024
05/20/2011,IGUSA10D,,,,3.067785
05/23/2011,IGUSA10D,,,,3.058323
05/24/2011,IGUSA10D,,,,3.046368
05/25/2011,IGUSA10D,,,,3.060827
05/26/2011,IGUSA10D,,,,3.002767
05/27/2011,IGUSA10D,,,,2.995399
06/01/2011,IGUSA10D,,,,2.892808
06/02/2011,IGUSA10D,,,,2.965216
06/03/2011,IGUSA10D,,,,2.923921
06/06/2011,IGUSA10D,,,,2.950703
06/07/2011,IGUSA10D,,,,2.932342
06/08/2011,IGUSA10D,,,,2.91891
06/09/2011,IGUSA10D,,,,2.929633
06/10/2011,IGUSA10D,,,,2.929004
06/13/2011,IGUSA10D,,,,2.9283
06/14/2011,IGUSA10D,,,,3.012346
06/15/2011,IGUSA10D,,,,2.917122
06/16/2011,IGUSA10D,,,,2.876674
06/17/2011,IGUSA10D,,,,2.879142
06/20/2011,IGUSA10D,,,,2.908521
06/21/2011,IGUSA10D,,,,2.905383
06/22/2011,IGUSA10D,,,,2.929633
06/23/2011,IGUSA10D,,,,2.867005
06/24/2011,IGUSA10D,,,,2.846304
06/27/2011,IGUSA10D,,,,2.90929
06/28/2011,IGUSA10D,,,,2.993575
06/29/2011,IGUSA10D,,,,3.045172
06/30/2011,IGUSA10D,,,,3.063294
07/01/2011,IGUSA10D,,,,3.08637
07/05/2011,IGUSA10D,,,,3.041184
07/06/2011,IGUSA10D,,,,3.012672
07/07/2011,IGUSA10D,,,,3.038762
07/08/2011,IGUSA10D,,,,2.913042
07/11/2011,IGUSA10D,,,,2.846508
07/12/2011,IGUSA10D,,,,2.8178
07/13/2011,IGUSA10D,,,,2.799112
07/14/2011,IGUSA10D,,,,2.860502
07/15/2011,IGUSA10D,,,,2.80329
07/18/2011,IGUSA10D,,,,2.818872
07/19/2011,IGUSA10D,,,,2.7645
07/20/2011,IGUSA10D,,,,2.804896
07/21/2011,IGUSA10D,,,,2.859108
