Date,Ticker,Open,High,Low,Close,Returns
01/12/2010,_CNDD,716.92,718.51,705.81,707.79,-1.27350332
01/13/2010,_CNDD,711.73,732.74,711.29,730.88,2.690627064
01/14/2010,_CNDD,732.99,744.97,732.95,738.35,0.73125145
01/15/2010,_CNDD,738.6,740.14,726.43,730.92,-1.039805037
01/19/2010,_CNDD,727.85,729.43,721.06,728.71,0.118156214
01/20/2010,_CNDD,717.66,720.39,707.41,712.25,-0.753838865
01/21/2010,_CNDD,715.34,723.43,701.72,702.21,-1.835490816
01/22/2010,_CNDD,701.4,705.57,681.61,684.74,-2.375249501
01/25/2010,_CNDD,686.86,692.53,679.96,681.9,-0.72212678
01/26/2010,_CNDD,675.23,692.59,669.82,682.69,1.104808732
01/27/2010,_CNDD,681.57,701.76,677.01,698.27,2.450225215
01/28/2010,_CNDD,700,706.11,687.45,700.9,0.128571429
01/29/2010,_CNDD,704.16,710.72,681.36,685.07,-2.711031584
02/01/2010,_CNDD,694.19,701.25,691.42,700.08,0.84847088
02/02/2010,_CNDD,704.6,718.07,700.76,716.13,1.636389441
02/03/2010,_CNDD,714.33,733.48,712.82,731.23,2.365853317
02/04/2010,_CNDD,732.63,737.8,710.21,711.88,-2.832261851
02/05/2010,_CNDD,714.82,727.48,703.11,727.45,1.766878375
02/08/2010,_CNDD,729.18,732.3,714.7,715.72,-1.845909103
02/09/2010,_CNDD,724.43,725.71,711.37,714.56,-1.362450478
02/10/2010,_CNDD,712.83,725.02,711.87,721.92,1.275198855
02/11/2010,_CNDD,721.84,742.33,718.88,740.41,2.572592264
02/12/2010,_CNDD,742.62,760.23,738.43,755.81,1.776143923
02/16/2010,_CNDD,754.87,754.87,743.65,750.18,-0.621299032
02/17/2010,_CNDD,747.4,750.74,742.02,750.52,0.41744715
02/18/2010,_CNDD,751.16,761.4,750.93,758.86,1.025081208
02/19/2010,_CNDD,756.91,761.14,751.96,756.26,-0.085875467
02/22/2010,_CNDD,759.32,759.32,741.2,745.88,-1.770004741
02/23/2010,_CNDD,745.05,746.52,727.29,731.13,-1.868330984
02/24/2010,_CNDD,734.95,748.07,734.24,745.94,1.495339819
02/25/2010,_CNDD,737.69,747.55,730.85,745.15,1.011264894
02/26/2010,_CNDD,747.69,755.16,740.79,753.86,0.825208308
03/01/2010,_CNDD,761,762.26,753.37,754.92,-0.798948752
03/02/2010,_CNDD,757.63,767.06,753.66,759.2,0.207225163
03/03/2010,_CNDD,763.81,766.07,758.61,760.59,-0.421570809
03/04/2010,_CNDD,760.85,761.66,754.58,756.61,-0.557271473
03/05/2010,_CNDD,759.54,764.33,756.5,757.62,-0.25278458
03/08/2010,_CNDD,769.14,789.56,766.77,786.29,2.229763112
03/09/2010,_CNDD,788.18,796.09,782.96,788.05,-0.016493694
03/10/2010,_CNDD,792.45,804.08,791.74,801.1,1.091551517
03/11/2010,_CNDD,803.68,814.34,797.88,810.58,0.858550667
03/12/2010,_CNDD,809.12,809.7,801.92,807.46,-0.205161163
03/15/2010,_CNDD,810.94,819.03,801.77,808.63,-0.284854613
03/16/2010,_CNDD,811.65,813.77,804.92,808.64,-0.370849504
03/17/2010,_CNDD,810.73,812.07,803.62,804.86,-0.724038829
03/18/2010,_CNDD,804.41,810.74,797.62,801.7,-0.336892878
03/19/2010,_CNDD,806.2,807,785.98,786.22,-2.478293227
03/22/2010,_CNDD,775.58,795.81,775.02,794.85,2.484592176
03/23/2010,_CNDD,797.86,810.85,796.45,809.1,1.408768456
03/24/2010,_CNDD,804.29,806.8,794.96,795.65,-1.074239391
03/25/2010,_CNDD,803.38,805.6,790.67,791.74,-1.448878488
03/26/2010,_CNDD,802.67,809.06,798.91,803.54,0.108388254
03/29/2010,_CNDD,809.46,820.09,808.39,813.45,0.492921207
03/30/2010,_CNDD,804.48,808.03,798.29,806.41,0.239906523
03/31/2010,_CNDD,808.51,810.83,797.66,799.84,-1.072342952
04/01/2010,_CNDD,769.68,782.74,761.78,764.48,-0.675605446
04/05/2010,_CNDD,764.83,770.84,758.06,761.83,-0.392244028
04/06/2010,_CNDD,762.92,784.38,762.4,780.58,2.314790542
04/07/2010,_CNDD,784.72,787.85,774.57,778.14,-0.838515649
04/08/2010,_CNDD,773.99,778.05,770.09,776.64,0.342381685
04/09/2010,_CNDD,779.35,782.32,774.92,779.92,0.073137871
04/12/2010,_CNDD,779.97,788.72,775.56,783.76,0.485916125
04/13/2010,_CNDD,784.68,799.48,781.24,797.52,1.636335831
04/14/2010,_CNDD,801.24,810.44,791.79,808.97,0.96475463
